date, Sierra de Atapuerca, Cueva del Silo de Ibeas de Juarros, Cueva Mayor Portalon de entrada de Ibeas de Juarros, Cueva Mayor Principal SalÃ³n del Coro de Ibeas de Juarros, Casco histÃ³rico de la ciudad de Burgos, Archivo Historico Provicial de Burgos, Biblioteca PÃºblica de Burgos, Castillo de Burgos, Muralla de Burgos, Torre de Albillos de Burgos, Cartuja de Santa MarÃ­a de Miraflores de Burgos, Casa del CordÃ³n de Burgos, Casa de Miranda de Burgos, Museo de Burgos, Conjunto del Monasterio de San Juan de Burgos, Hospital de la ConcepciÃ³n de Burgos, Hospital del Rey de Burgos, Catedral de Santa MarÃ­a de Burgos, Iglesia de San Esteban de Burgos, Iglesia de San Gil de Burgos, Palacio del Paseo de la Isla, Puerta de San Esteban de Burgos, Real Monasterio de San AgustÃ­n de Burgos, Teatro Principal de Burgos, Crucero de Tardajos, Calzada de la Plata en Castilla y LeÃ³n de Astorga, La ciudad de Astorga, Murallas de Astorga, Ayuntamiento de Astorga, Catedral de Santa MarÃ­a de Astorga, ErgÃ¡stula Romana de Atorga, Palacio Episcopal de Astorga, Iglesia Parroquial de la AsunciÃ³n de Rabanal del Camino, La Villa de Molinaseca, El Casco Antiguo de Ponferrada, Castillo de El Temple de Ponferrada, Yacimiento arqueolÃ³gico de La Edrada, El Castro de la Ventosa de Pieros, Zona Antigua de Villafranca del Bierzo, Castillo de Villafranca del Bierzo
2009-01-01,48,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,49,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,45,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,29,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,27,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,26,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,44,0,0,0,0,0,0,0,0,0,32,0,0,34,0,0,0,0,0,0,0,0
2009-06-01,100,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,78,0,67,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,71,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,44,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,74,0,0,0,0,35,0,0,49,0,0,0,0,0,0,0,93
2009-11-01,38,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,100,0,0,0,0,70,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
2010-01-01,41,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,29,0,0,0,0,0,0,0,0,0,24,0,0,67,0,0,0,0,0,0,0,0
2010-02-01,69,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,60,0,0,0,0,100,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,86,0,0,0,0,56,0,0,24,0,0,0,0,0,0,0,70
2010-04-01,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,28,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,83,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,40,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2010-07-01,38,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,82,0,0,0,0,0,0,0,49,0,46,0,0,0,0,0,0,0,0,0,0,82
2010-08-01,92,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,51,0,0,56,0,0,0,0,0,0,0,0
2010-09-01,53,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,26,0,0,63,0,0,0,0,23,0,0,0,0,0,0,0,0
2010-10-01,86,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,17,0,0,0,0,41,0,0,36,0,0,0,0,0,0,0,0
2010-11-01,53,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,19,0,70,0,0,37,0,0,0,0,0,0,0,0
2010-12-01,47,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,45,0,0,0,0,64,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,34,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,73,0,0,39,0,34,0,0,0,0,0,0,0,0,0,0,50
2011-02-01,26,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,33,0,0,37,0,37,0,0,36,0,0,0,0,0,0,0,48
2011-03-01,59,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,46,0,0,0,0,63,0,0,44,0,0,0,0,0,0,0,0
2011-04-01,50,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,48,0,0,0,0,33,0,0,18,0,29,0,0,21,0,0,0,0,0,0,0,80
2011-05-01,57,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,81,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,24,0,0,19,0,65,0,0,52,0,0,0,0,0,0,0,0
2011-07-01,62,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,97,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,25,0,83,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,58,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,33,0,0,35,0,44,0,0,38,0,0,0,0,0,0,0,28
2011-10-01,54,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,33,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,69,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,31,0,0,0,0,26,0,0,21,0,25,0,0,23,0,0,0,0,0,0,0,0
2011-12-01,64,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,27,0,0,0,0,46,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,38,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,37,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,49,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,46,0,0,0,0,22,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,50,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,42,0,0,0,0,19,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,46
2012-04-01,44,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,32,0,0,0,0,0,0,0,14,0,0,0,0,28,0,0,0,0,0,0,0,40
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,21,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,48,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,21,0,46,0,0,65,0,0,0,0,0,0,0,56
2012-07-01,54,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0,29,0,0,0,0,0,0,0,0
2012-08-01,53,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,70,0,69,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,60,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,40,0,0,0,0,17,0,0,16,0,0,0,0,0,0,0,37
2012-10-01,19,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,21,0,0,0,0,31,0,0,0,0,18,0,0,27,0,0,0,0,0,0,0,0
2012-11-01,59,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,24
2012-12-01,54,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,0
2013-01-01,52,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,13,0,0,0,0,0,0,0,0
2013-02-01,61,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,41,0,0,0,0,43,0,0,33,0,0,0,0,0,0,0,0
2013-03-01,40,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,42,0,0,0,0,31,0,0,43,0,0,0,0,0,0,0,0
2013-04-01,35,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,10,0,0,0,0,0,0,0,20
2013-05-01,67,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,31,0,0,53,0,0,0,0,0,0,0,0
2013-06-01,44,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,15,0,0,0,0,21,0,0,0,0,18,0,0,17,0,0,0,0,0,0,0,30
2013-07-01,38,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
2013-08-01,37,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2013-09-01,48,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,26,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,50
2013-10-01,28,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,20,0,0,25,0,17,0,0,21,0,0,0,0,0,0,0,0
2013-11-01,79,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,22,0,0,17,0,25,0,0,0,0,0,0,0,0,0,0,34
2013-12-01,63,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,38,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,100
2014-01-01,61,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0
2014-02-01,50,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2014-03-01,64,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,16,0,0,0,0,11,0,0,19,0,0,0,0,0,0,0,21
2014-04-01,19,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,41,0,0,0,0,31,0,0,0,0,9,0,0,21,0,0,0,0,0,0,0,0
2014-05-01,53,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,15,0,0,0,0,34,0,0,28,0,0,0,0,0,0,0,0
2014-06-01,38,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,46,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0
2014-07-01,56,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,25,0,0,0,0,31,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
2014-08-01,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2014-09-01,44,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,0,0,9,0,0,0,0,0,0,0,28
2014-10-01,48,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0,0,0,17,0,27,0,0,0,0,0,0,0,0,0,0,0
